id,SalePrice
1461,116119.90939605929
1462,154506.50741595795
1463,186982.587175372
1464,197174.3617950284
1465,212797.51488988622
1466,165031.71230623938
1467,171303.09770548728
1468,156070.89360668295
1469,208371.72957896427
1470,111924.27098889695
1471,146005.29742626954
1472,91067.4712789369
1473,88746.33769222425
1474,141954.73534480535
1475,84834.69907689578
1476,384524.74369469116
1477,262765.8109004088
1478,318021.52030476846
1479,309820.26844934974
1480,455598.55460910406
1481,318525.3566516981
1482,208488.1220522797
1483,180937.9991662847
1484,158859.97089691268
1485,190197.68728462388
1486,190261.9942941747
1487,350612.4151740412
1488,226850.8818434708
1489,203363.45904469406
1490,257543.20188909443
1491,207084.35277179634
1492,107052.73936945162
1493,202653.77606421226
1494,319716.9977313178
1495,299217.6909720121
1496,245942.21511194442
1497,168362.94979220646
1498,181106.0426186222
1499,166169.53479337785
1500,154080.65137791846
1501,176466.5095405597
1502,122675.97312743505
1503,326807.80315414205
1504,232222.25470425014
1505,222396.4197476254
1506,192579.4262303479
1507,233984.87469099055
1508,198164.69362671112
1509,156376.5176690148
1510,144885.80300398078
1511,154405.68068618095
1512,167837.02841683646
1513,154085.6712052294
1514,163337.27581601264
1515,198641.12258757796
1516,158031.3423012202
1517,184370.7098338419
1518,122680.76465224006
1519,215375.15235946965
1520,112772.64631422274
1521,128710.78278527319
1522,188421.0742528601
1523,103779.23020513656
1524,122242.20704325271
1525,113438.06801658226
1526,100027.67381450714
1527,93648.5840104522
1528,123304.66400261692
1529,158340.37115381504
1530,200002.46939765065
1531,113228.28768576059
1532,88251.55889352859
1533,169322.02408807425
1534,131092.06921611942
1535,148252.03995534155
1536,98182.2899886888
1537,48869.669636178005
1538,172228.4039375061
1539,209223.79342694
1540,122656.37847345072
1541,150917.99225036707
1542,170818.32471305778
1543,175272.59136819336
1544,76791.49590738717
1545,106545.75138402052
1546,154350.4323775582
1547,139634.4781802531
1548,149423.25840064257
1549,122382.14266169182
1550,148463.94935793165
1551,96061.0069334755
1552,143178.9705692436
1553,162569.95928839667
1554,98083.42124166692
1555,171025.75453600378
1556,58907.97418267967
1557,147054.62894950845
1558,106031.33907820532
1559,56495.140160356474
